2026-06-21 02:11:30 | INFO     | run                  | ======================================================================
2026-06-21 02:11:30 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-06-21 02:11:30 | INFO     | run                  | ======================================================================
2026-06-21 02:11:30 | INFO     | run                  | Execution Time: 2026-06-21 07:11:30 PKT
2026-06-21 02:11:30 | INFO     | run                  | Configuration:
2026-06-21 02:11:30 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-06-21 02:11:30 | INFO     | run                  |    - Data directory: data
2026-06-21 02:11:30 | INFO     | run                  |    - Log directory: logs
2026-06-21 02:11:30 | INFO     | run                  | ======================================================================
2026-06-21 02:11:30 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-06-21 02:11:30 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-06-21 02:11:35 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-06-21 02:11:36 | DEBUG    | fetch_data           | Response status: 200
2026-06-21 02:11:36 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-06-21 02:11:36 | DEBUG    | fetch_data           | Response size: 477421 bytes
2026-06-21 02:11:36 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-06-21 02:11:36 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-06-21 02:11:36 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-06-21 02:11:36 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-06-21 02:11:36 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-06-21 02:11:36 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-06-21 02:11:36 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-06-21 02:11:36 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-21 02:11:36 | DEBUG    | parse_html           | Table shape: (497, 11)
2026-06-21 02:11:36 | INFO     | parse_html           | ✅ HTML parsed successfully (497 rows)
2026-06-21 02:11:36 | INFO     | clean_data           | Cleaning data...
2026-06-21 02:11:36 | DEBUG    | clean_data           | Initial shape: (497, 11)
2026-06-21 02:11:36 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-21 02:11:36 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-21 02:11:36 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-06-21 02:11:36 | INFO     | clean_data           | ✅ Data cleaned (497 rows, 16 columns)
2026-06-21 02:11:36 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-06-21 02:11:36 | DEBUG    | get_file_path        | Generated file path: data/2026/06/2026-06-21.xlsx
2026-06-21 02:11:36 | INFO     | save_data            | Saving data to: data/2026/06/2026-06-21.xlsx
2026-06-21 02:11:36 | DEBUG    | save_data            | Writing to temporary file...
2026-06-21 02:11:37 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/06/tmpou1keogv.xlsx
2026-06-21 02:11:37 | DEBUG    | save_data            | Temp file moved to final location
2026-06-21 02:11:37 | INFO     | save_data            | ✅ Data saved successfully (497 total rows, 43140 bytes)
2026-06-21 02:11:37 | INFO     | run                  | ======================================================================
2026-06-21 02:11:37 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-06-21 02:11:37 | INFO     | run                  |    ✅ Status: SUCCESS
2026-06-21 02:11:37 | INFO     | run                  |    - Rows processed: 497
2026-06-21 02:11:37 | INFO     | run                  |    - Unique symbols: 497
2026-06-21 02:11:37 | INFO     | run                  |    - Timestamp: 2026-06-21 07:11:30
2026-06-21 02:11:37 | INFO     | run                  |    - File: data/2026/06/2026-06-21.xlsx
2026-06-21 02:11:37 | INFO     | run                  | ======================================================================
2026-06-21 02:11:37 | DEBUG    | run                  | Sample data (first row):
2026-06-21 02:11:37 | DEBUG    | run                  | {'SYMBOL': 'SSGC', 'SECTOR': 821, 'LDCP': 30.63, 'OPEN': 30.7, 'HIGH': 32.35, 'LOW': 30.3, 'CURRENT': 31.32, 'CHANGE': 0.69, 'CHANGE (%)': nan, 'VOLUME': 87347852, 'YEAR': 2026, 'MONTH': 6, 'DAY': 21, 'HOUR': 7, 'MINUTE': 11, 'DATETIME': '2026-06-21 07:11'}
2026-06-21 02:16:37 | INFO     | run                  | ======================================================================
2026-06-21 02:16:37 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-06-21 02:16:37 | INFO     | run                  | ======================================================================
2026-06-21 02:16:37 | INFO     | run                  | Execution Time: 2026-06-21 07:16:37 PKT
2026-06-21 02:16:37 | INFO     | run                  | Configuration:
2026-06-21 02:16:37 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-06-21 02:16:37 | INFO     | run                  |    - Data directory: data
2026-06-21 02:16:37 | INFO     | run                  |    - Log directory: logs
2026-06-21 02:16:37 | INFO     | run                  | ======================================================================
2026-06-21 02:16:37 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-06-21 02:16:37 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-06-21 02:16:41 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-06-21 02:16:44 | DEBUG    | fetch_data           | Response status: 200
2026-06-21 02:16:44 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-06-21 02:16:44 | DEBUG    | fetch_data           | Response size: 477421 bytes
2026-06-21 02:16:44 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-06-21 02:16:44 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-06-21 02:16:44 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-06-21 02:16:44 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-06-21 02:16:44 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-06-21 02:16:44 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-06-21 02:16:44 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-06-21 02:16:44 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-21 02:16:44 | DEBUG    | parse_html           | Table shape: (497, 11)
2026-06-21 02:16:44 | INFO     | parse_html           | ✅ HTML parsed successfully (497 rows)
2026-06-21 02:16:44 | INFO     | clean_data           | Cleaning data...
2026-06-21 02:16:44 | DEBUG    | clean_data           | Initial shape: (497, 11)
2026-06-21 02:16:44 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-21 02:16:44 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-21 02:16:44 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-06-21 02:16:44 | INFO     | clean_data           | ✅ Data cleaned (497 rows, 16 columns)
